Timestamp,Registration No.,Chair-person,Deputy chair-person,Finance Secretary,Secretary,Chief First Aider
6/13/2024 15:13,21/05213,William Odundo,BETTY KADZO,Gichigi Mary,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 15:13,19/01428,William Odundo,Winscovia Mmbone,Gichigi Mary,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 15:19,22/05032,William Odundo,BETTY KADZO,Marylyn Waihiga Mugo,Mercy Gitenya,Joshua Onyango
6/13/2024 15:21,23/03751,William Odundo,BETTY KADZO,Gichigi Mary,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 15:24,23/06066,William Odundo,Winscovia Mmbone,Marylyn Waihiga Mugo,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 15:32,22/08108,William Odundo,BETTY KADZO,Gichigi Mary,Mercy Gitenya,Joshua Onyango
6/13/2024 15:33,22/09127,William Odundo,BETTY KADZO,Gichigi Mary,Danielle Adhiambo,Joshua Onyango
6/13/2024 15:33,21/07051,William Odundo,BETTY KADZO,Gichigi Mary,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 15:33,22/04778,William Odundo,BETTY KADZO,Marylyn Waihiga Mugo,Mercy Gitenya,Joshua Onyango
6/13/2024 15:35,23/07797,William Odundo,Winscovia Mmbone,Marylyn Waihiga Mugo,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 15:39,22/06197,William Odundo,Winscovia Mmbone,Gichigi Mary,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 15:39,22/06345,William Odundo,Winscovia Mmbone,Gichigi Mary,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 15:39,21/03279,William Odundo,Winscovia Mmbone,Marylyn Waihiga Mugo,Danielle Adhiambo,Joshua Onyango
6/13/2024 15:45,23/04867,William Odundo,BETTY KADZO,Marylyn Waihiga Mugo,Danielle Adhiambo,Joshua Onyango
6/13/2024 15:51,22/08252,William Odundo,Winscovia Mmbone,Gichigi Mary,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 15:55,23/07809,William Odundo,BETTY KADZO,Marylyn Waihiga Mugo,Danielle Adhiambo,Joshua Onyango
6/13/2024 15:56,23/06628,William Odundo,BETTY KADZO,Marylyn Waihiga Mugo,Danielle Adhiambo,Joshua Onyango
6/13/2024 15:56,20/03192,William Odundo,BETTY KADZO,Marylyn Waihiga Mugo,Mercy Gitenya,Joshua Onyango
6/13/2024 16:02,24/00559,William Odundo,BETTY KADZO,Gichigi Mary,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 16:08,21/09015,William Odundo,BETTY KADZO,Gichigi Mary,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 16:11,20/04761,William Odundo,BETTY KADZO,Marylyn Waihiga Mugo,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 16:12,21/04864,William Odundo,BETTY KADZO,Marylyn Waihiga Mugo,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 16:18,23/06665,William Odundo,BETTY KADZO,Gichigi Mary,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 16:21,23/01912,William Odundo,BETTY KADZO,Marylyn Waihiga Mugo,Danielle Adhiambo,Joshua Onyango
6/13/2024 16:23,22/01233,William Odundo,BETTY KADZO,Gichigi Mary,Danielle Adhiambo,Joshua Onyango
6/13/2024 16:46,21/06835,William Odundo,BETTY KADZO,Marylyn Waihiga Mugo,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 16:54,21/06270,William Odundo,Winscovia Mmbone,Gichigi Mary,Danielle Adhiambo,Joshua Onyango
6/13/2024 17:02,22/04299,William Odundo,BETTY KADZO,Marylyn Waihiga Mugo,Mercy Gitenya,Joshua Onyango
6/13/2024 17:41,21/08614,William Odundo,Winscovia Mmbone,Marylyn Waihiga Mugo,Danielle Adhiambo,Joshua Onyango
6/13/2024 17:52,21/05649,William Odundo,BETTY KADZO,Gichigi Mary,Danielle Adhiambo,Joshua Onyango
6/13/2024 19:44,22/08970,William Odundo,BETTY KADZO,Marylyn Waihiga Mugo,Danielle Adhiambo,Joshua Onyango
6/13/2024 19:56,21/07230,William Odundo,BETTY KADZO,Gichigi Mary,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 20:05,20/04439,William Odundo,Winscovia Mmbone,Gichigi Mary,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 20:11,24/01063,William Odundo,BETTY KADZO,Gichigi Mary,Mercy Gitenya,Joshua Onyango
6/13/2024 20:49,22/07756,William Odundo,Winscovia Mmbone,Marylyn Waihiga Mugo,Danielle Adhiambo,Joshua Onyango
6/13/2024 20:55,21/07604,William Odundo,Winscovia Mmbone,Gichigi Mary,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 21:07,22/08697,William Odundo,Winscovia Mmbone,Marylyn Waihiga Mugo,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 21:28,22/08560,William Odundo,Winscovia Mmbone,Marylyn Waihiga Mugo,Danielle Adhiambo,Joshua Onyango
6/13/2024 22:00,22/06372 ,William Odundo,Winscovia Mmbone,Gichigi Mary,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 22:09,24/01097,William Odundo,BETTY KADZO,Gichigi Mary,Mercy Gitenya,Joshua Onyango
6/13/2024 22:25,23/04946,William Odundo,BETTY KADZO,Marylyn Waihiga Mugo,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 22:44,24/00370,William Odundo,Winscovia Mmbone,Gichigi Mary,Amaya Hellen Olesi,Joshua Onyango
6/13/2024 22:47,22/04567 ,William Odundo,Winscovia Mmbone,Marylyn Waihiga Mugo,Mercy Gitenya,Joshua Onyango
